ssd,current_spot_price
2017-06-08,1902.0
2017-06-09,1910.0
2017-06-12,1888.0
2017-06-13,1877.0
2017-06-14,1886.0
2017-06-15,1864.0
2017-06-16,1861.0
2017-06-19,1862.0
2017-06-20,1889.0
2017-06-21,1866.0
2017-06-22,1872.0
2017-06-23,1868.0
2017-06-26,1855.0
2017-06-27,1862.0
2017-06-28,1886.0
2017-06-29,1898.0
2017-06-30,1908.0
2017-07-03,1918.0
2017-07-04,1904.0
2017-07-05,1913.0
2017-07-06,1926.0
2017-07-07,1920.0
2017-07-10,1914.0
2017-07-11,1879.0
2017-07-12,1877.0
2017-07-13,1911.0
2017-07-14,1904.0
2017-07-17,1901.0
2017-07-18,1887.0
2017-07-19,1907.0
2017-07-20,1898.0
2017-07-21,1901.0
2017-07-24,1890.0
2017-07-25,1896.0
2017-07-26,1912.0
2017-07-27,1923.0
2017-07-28,1892.0
2017-07-31,1904.0
2017-08-01,1887.0
2017-08-02,1904.0
2017-08-03,1892.0
2017-08-04,1890.0
2017-08-07,1920.0
2017-08-08,1981.0
2017-08-09,2018.0
2017-08-10,2024.0
2017-08-11,2040.0
2017-08-14,2030.0
2017-08-15,2056.0
2017-08-16,2075.0
2017-08-17,2096.0
2017-08-18,2104.0
2017-08-21,2084.0
2017-08-22,2104.0
2017-08-23,2082.0
2017-08-24,2105.0
2017-08-25,2096.0
2017-08-28,2094.0
2017-08-29,2092.0
2017-08-30,2066.0
2017-08-31,2114.0
2017-09-01,2114.0
2017-09-04,2096.0
2017-09-05,2082.0
2017-09-06,2070.0
2017-09-07,2075.0
2017-09-08,2072.0
2017-09-11,2100.0
2017-09-12,2083.0
2017-09-13,2083.0
2017-09-14,2065.0
2017-09-15,2068.0
2017-09-18,2066.0
2017-09-19,2108.0
2017-09-20,2164.0
2017-09-21,2154.0
2017-09-22,2137.0
2017-09-25,2128.0
2017-09-26,2116.0
2017-09-27,2117.0
2017-09-28,2102.0
2017-09-29,2110.0
2017-10-02,2067.0
2017-10-03,2114.0
2017-10-04,2140.0
2017-10-05,2124.0
2017-10-06,2122.0
2017-10-09,2135.0
2017-10-10,2133.0
2017-10-11,2124.0
2017-10-12,2118.0
2017-10-13,2140.0
2017-10-16,2144.0
2017-10-17,2111.0
2017-10-18,2106.0
2017-10-19,2128.0
2017-10-20,2159.0
2017-10-23,2134.0
2017-10-24,2144.0
2017-10-25,2150.0
2017-10-26,2175.0
2017-10-27,2119.0
2017-10-30,2143.0
2017-10-31,2140.0
2017-11-01,2188.0
2017-11-02,2152.0
2017-11-03,2165.0
2017-11-06,2152.0
2017-11-07,2131.0
2017-11-08,2104.0
2017-11-09,2078.0
2017-11-10,2090.0
2017-11-13,2100.0
2017-11-14,2085.0
2017-11-15,2082.0
2017-11-16,2106.0
2017-11-17,2077.0
2017-11-20,2068.0
2017-11-21,2062.0
2017-11-22,2085.0
2017-11-23,2090.0
2017-11-24,2104.0
2017-11-27,2110.0
2017-11-28,2100.0
2017-11-29,2062.0
2017-11-30,2033.0
2017-12-01,2046.0
2017-12-04,2052.0
2017-12-05,2052.0
2017-12-06,2028.0
2017-12-07,1994.0
2017-12-08,1992.0
2017-12-11,1992.0
2017-12-12,2004.0
2017-12-13,1997.0
2017-12-14,2017.0
2017-12-15,2036.0
2017-12-18,2048.0
2017-12-19,2061.0
2017-12-20,2092.0
2017-12-21,2108.0
2017-12-22,2137.0
2017-12-25,2158.0
2017-12-26,2179.0
2017-12-27,2200.0
2017-12-28,2246.0
2017-12-29,2242.0
2018-01-01,2249.0
2018-01-02,2256.0
2018-01-03,2241.0
2018-01-04,2230.0
2018-01-05,2206.0
2018-01-08,2178.0
2018-01-09,2144.0
2018-01-10,2159.0
2018-01-11,2179.0
2018-01-12,2215.0
2018-01-15,2228.0
2018-01-16,2172.0
2018-01-17,2187.0
2018-01-18,2225.0
2018-01-19,2256.0
2018-01-22,2235.0
2018-01-23,2214.0
2018-01-24,2216.0
2018-01-25,2238.0
2018-01-26,2238.0
2018-01-29,2252.0
2018-01-30,2229.0
2018-01-31,2224.0
2018-02-01,2218.0
2018-02-02,2228.0
2018-02-05,2202.0
2018-02-06,2196.0
2018-02-07,2182.0
2018-02-08,2168.0
2018-02-09,2142.0
2018-02-12,2130.0
2018-02-13,2124.0
2018-02-14,2138.0
2018-02-15,2164.0
2018-02-16,2190.0
2018-02-19,2266.0
2018-02-20,2239.0
